"","X","generations","popsize_outcrossrate","He","popsize","outcross"
"1",1,1,"10_0",0.296450555,10,0
"2",2,2,"10_0",0.28897212,10,0
"3",3,3,"10_0",0.285286855,10,0
"4",4,4,"10_0",0.283413995,10,0
"5",5,5,"10_0",0.28246888,10,0
"6",6,6,"10_0",0.28202871,10,0
"7",7,7,"10_0",0.281790945,10,0
"8",8,8,"10_0",0.2816757,10,0
"9",9,9,"10_0",0.28160843,10,0
"10",10,10,"10_0",0.28157692,10,0
"11",11,11,"10_0",0.28156315,10,0
"12",12,12,"10_0",0.281557515,10,0
"13",13,13,"10_0",0.281555695,10,0
"14",14,14,"10_0",0.28155004,10,0
"15",15,15,"10_0",0.281548235,10,0
"16",16,16,"10_0",0.281548275,10,0
"17",17,17,"10_0",0.281548815,10,0
"18",18,18,"10_0",0.2815488,10,0
"19",19,19,"10_0",0.281548695,10,0
"20",20,20,"10_0",0.2815485,10,0
"21",21,21,"10_0",0.28154848,10,0
"22",22,22,"10_0",0.281548495,10,0
"23",23,23,"10_0",0.281548495,10,0
"24",24,24,"10_0",0.281548495,10,0
"25",25,25,"10_0",0.281548495,10,0
"26",26,26,"10_0",0.281548495,10,0
"27",27,27,"10_0",0.28154846,10,0
"28",28,28,"10_0",0.28154846,10,0
"29",29,29,"10_0",0.28154846,10,0
"30",30,30,"10_0",0.28154846,10,0
"31",31,31,"10_0",0.28154846,10,0
"32",32,32,"10_0",0.28154846,10,0
"33",33,33,"10_0",0.28154846,10,0
"34",34,34,"10_0",0.28154846,10,0
"35",35,35,"10_0",0.28154846,10,0
"36",36,36,"10_0",0.28154846,10,0
"37",37,37,"10_0",0.28154846,10,0
"38",38,38,"10_0",0.28154846,10,0
"39",39,39,"10_0",0.28154846,10,0
"40",40,40,"10_0",0.28154846,10,0
"41",41,41,"10_0",0.28154846,10,0
"42",42,42,"10_0",0.28154846,10,0
"43",43,43,"10_0",0.28154846,10,0
"44",44,44,"10_0",0.28154846,10,0
"45",45,45,"10_0",0.28154846,10,0
"46",46,46,"10_0",0.28154846,10,0
"47",47,47,"10_0",0.28154846,10,0
"48",48,48,"10_0",0.28154846,10,0
"49",49,49,"10_0",0.28154846,10,0
"50",50,50,"10_0",0.28154846,10,0
"51",51,51,"10_0",0.28154846,10,0
"52",52,52,"10_0",0.28154846,10,0
"53",53,53,"10_0",0.28154846,10,0
"54",54,54,"10_0",0.28154846,10,0
"55",55,55,"10_0",0.28154846,10,0
"56",56,56,"10_0",0.28154846,10,0
"57",57,57,"10_0",0.28154846,10,0
"58",58,58,"10_0",0.28154846,10,0
"59",59,59,"10_0",0.28154846,10,0
"60",60,60,"10_0",0.28154846,10,0
"61",61,61,"10_0",0.28154846,10,0
"62",62,62,"10_0",0.28154846,10,0
"63",63,63,"10_0",0.28154846,10,0
"64",64,64,"10_0",0.28154846,10,0
"65",65,65,"10_0",0.28154846,10,0
"66",66,66,"10_0",0.28154846,10,0
"67",67,67,"10_0",0.28154846,10,0
"68",68,68,"10_0",0.28154846,10,0
"69",69,69,"10_0",0.28154846,10,0
"70",70,70,"10_0",0.28154846,10,0
"71",71,71,"10_0",0.28154846,10,0
"72",72,72,"10_0",0.28154846,10,0
"73",73,73,"10_0",0.28154846,10,0
"74",74,74,"10_0",0.28154846,10,0
"75",75,75,"10_0",0.28154846,10,0
"76",76,76,"10_0",0.28154846,10,0
"77",77,77,"10_0",0.28154846,10,0
"78",78,78,"10_0",0.28154846,10,0
"79",79,79,"10_0",0.28154846,10,0
"80",80,80,"10_0",0.28154846,10,0
"81",81,81,"10_0",0.28154846,10,0
"82",82,82,"10_0",0.28154846,10,0
"83",83,83,"10_0",0.28154846,10,0
"84",84,84,"10_0",0.28154846,10,0
"85",85,85,"10_0",0.28154846,10,0
"86",86,86,"10_0",0.28154846,10,0
"87",87,87,"10_0",0.28154846,10,0
"88",88,88,"10_0",0.28154846,10,0
"89",89,89,"10_0",0.28154846,10,0
"90",90,90,"10_0",0.28154846,10,0
"91",91,91,"10_0",0.28154846,10,0
"92",92,92,"10_0",0.28154846,10,0
"93",93,93,"10_0",0.28154846,10,0
"94",94,94,"10_0",0.28154846,10,0
"95",95,95,"10_0",0.28154846,10,0
"96",96,96,"10_0",0.28154846,10,0
"97",97,97,"10_0",0.28154846,10,0
"98",98,98,"10_0",0.28154846,10,0
"99",99,99,"10_0",0.28154846,10,0
"100",100,100,"10_0",0.28154846,10,0
"101",1,1,"10_0.25",0.296371855,10,0.25
"102",2,2,"10_0.25",0.287296345,10,0.25
"103",3,3,"10_0.25",0.280288645,10,0.25
"104",4,4,"10_0.25",0.274267925,10,0.25
"105",5,5,"10_0.25",0.26849469,10,0.25
"106",6,6,"10_0.25",0.263046985,10,0.25
"107",7,7,"10_0.25",0.25762794,10,0.25
"108",8,8,"10_0.25",0.252530605,10,0.25
"109",9,9,"10_0.25",0.24749397,10,0.25
"110",10,10,"10_0.25",0.242304625,10,0.25
"111",11,11,"10_0.25",0.237360105,10,0.25
"112",12,12,"10_0.25",0.23246265,10,0.25
"113",13,13,"10_0.25",0.227406845,10,0.25
"114",14,14,"10_0.25",0.222713705,10,0.25
"115",15,15,"10_0.25",0.218182045,10,0.25
"116",16,16,"10_0.25",0.21356267,10,0.25
"117",17,17,"10_0.25",0.20921741,10,0.25
"118",18,18,"10_0.25",0.204814905,10,0.25
"119",19,19,"10_0.25",0.200564145,10,0.25
"120",20,20,"10_0.25",0.196672455,10,0.25
"121",21,21,"10_0.25",0.19238591,10,0.25
"122",22,22,"10_0.25",0.188530165,10,0.25
"123",23,23,"10_0.25",0.18480006,10,0.25
"124",24,24,"10_0.25",0.1809249,10,0.25
"125",25,25,"10_0.25",0.1774128,10,0.25
"126",26,26,"10_0.25",0.173785995,10,0.25
"127",27,27,"10_0.25",0.17020045,10,0.25
"128",28,28,"10_0.25",0.166648485,10,0.25
"129",29,29,"10_0.25",0.16317311,10,0.25
"130",30,30,"10_0.25",0.15995076,10,0.25
"131",31,31,"10_0.25",0.15666832,10,0.25
"132",32,32,"10_0.25",0.1534645,10,0.25
"133",33,33,"10_0.25",0.150266055,10,0.25
"134",34,34,"10_0.25",0.147251685,10,0.25
"135",35,35,"10_0.25",0.1441554,10,0.25
"136",36,36,"10_0.25",0.141200465,10,0.25
"137",37,37,"10_0.25",0.138243685,10,0.25
"138",38,38,"10_0.25",0.135416935,10,0.25
"139",39,39,"10_0.25",0.132760185,10,0.25
"140",40,40,"10_0.25",0.13007982,10,0.25
"141",41,41,"10_0.25",0.127390935,10,0.25
"142",42,42,"10_0.25",0.1248706,10,0.25
"143",43,43,"10_0.25",0.12236937,10,0.25
"144",44,44,"10_0.25",0.11980514,10,0.25
"145",45,45,"10_0.25",0.117275635,10,0.25
"146",46,46,"10_0.25",0.114914705,10,0.25
"147",47,47,"10_0.25",0.11254696,10,0.25
"148",48,48,"10_0.25",0.11023549,10,0.25
"149",49,49,"10_0.25",0.108012595,10,0.25
"150",50,50,"10_0.25",0.105713465,10,0.25
"151",51,51,"10_0.25",0.103556045,10,0.25
"152",52,52,"10_0.25",0.101526795,10,0.25
"153",53,53,"10_0.25",0.09940335,10,0.25
"154",54,54,"10_0.25",0.09744928,10,0.25
